site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring,Land,lat_start,lat_stop,long_start,long_stop
145,Antro del Corchia,43.98,10.22,840,mixed,unknown,unknown,Italien,43,44,10,11
146,Gunung-buda cave (snail shell cave),4.033,114.8,150,limestone,Miocene,yes,Malaysia,4,5,114,115
147,Fort Stanton cave,33.5067,-105.4433,1864,unknown,unknown,unknown,USA – New Mexico,33,34,-105,-106
148,Buffalo cave,-24.1428,29.177,1140,dolomite,Precambrian,no,Südafrika,-24,-25,29,30
149,Dongge cave,25.28,108.08,680,unknown,Pleistocene,no,China,25,26,108,109
150,Exhaleair cave,-41.2833,172.633,685,marble,unknown,no,Neuseeland,-41,-42,172,173
151,Guillotine cave,-42.3108,172.2178,740,unknown,unknown,unknown,Neuseeland,-42,-43,172,173
152,Hoti cave,23.0833,57.35,800,unknown,unknown,no,Oman,23,24,57,58
153,Jhumar cave,18.8667,81.8667,600,unknown,unknown,yes,Indien,18,19,81,82
154,Jiuxian cave,33.5667,109.1,1495,limestone,unknown,no,China,33,34,109,110
155,KNI-51 cave,-15.18,128.37,100,limestone,Devonian,no,Australien,-15,-16,128,129
156,Mavri Trypa cave,36.736,21.7596,70,limestone,Palaeocene,no,Griechenland,36,37,21,22
157,Munagamanu cave,15.15,77.92,475,unknown,unknown,no,Indien,15,16,77,78
158,Nettlebed cave,-41.25,172.633,390,marble,unknown,no,Neuseeland,-41,-42,172,173
159,Qunf cave,17.1667,54.3,650,unknown,unknown,no,Oman,17,18,54,55
160,Soreq cave,31.7558,35.0224,400,dolomite,Cretaceous,yes,Israel,31,32,35,36
161,Te Anau Fiordland,-45.28,167.7,320,unknown,unknown,unknown,Neuseeland,-45,-46,167,168
162,Calcite cave,-46.0172,167.7431,NULL,limestone,Miocene,unknown,Neuseeland,-46,-47,167,168
163,Gardener's Gut,-37.7394,175.1033,120,unknown,unknown,unknown,Neuseeland,-37,-38,175,176
164,Max's cave,-37.7394,175.1033,325,unknown,unknown,unknown,Neuseeland,-37,-38,175,176
165,Ruakuri cave,-38.2667,175.0667,80,unknown,unknown,unknown,Neuseeland,-38,-39,175,176
166,Te Reinga cave,-38.82,177.52,NULL,unknown,unknown,unknown,Neuseeland,-38,-39,177,178
167,Waiau cave,-46,167.73,100,unknown,unknown,unknown,Neuseeland,-46,-46,167,168
168,Wazpretti cave,-42.3108,171.4,100,unknown,unknown,unknown,Neuseeland,-42,-43,171,172
169,Doubtful Xanadu,-45.3735,167.0476,960,marble,unknown,unknown,Neuseeland,-45,-46,167,168
170,Defore cave,17.1667,54.0833,150,limestone,unknown,no,Oman,17,18,54,55
171,Devils Hole,36.4254,-116.2915,719,unknown,unknown,unknown,USA – Nevada,36,37,-116,-117
172,Wolkberg cave,-24.1,29.88,1450,dolomite,unknown,no,Südafrika,-24,-25,29,30
173,Perdida cave,18,-67,350,limestone,Oligocene,yes,Puerto Rico,18,18,-67,-67
174,Zhuliuping cave,26.0167,104.095,1217,limestone,Triassic,unknown,China,26,27,104,105
175,Yaoba Don cave,28.8,109.83,420,limestone,Cambrian,unknown,China,109,110,420,420
176,Qingtian,31.3333,110.3667,1630,limestone,Holocene,no,China,110,111,1630,1630
177,Santo Tomas cave,22.55,-83.84,170,mixed,Jurassic,yes,Kuba,-83,-84,170,170
178,Yamen,25.4833,107.9,570,unknown,unknown,unknown,China,107,108,570,570
179,Closani cave,45.1,22.8,433,limestone,Jurassic,yes,Rumänien,22,23,433,433
180,Chillagoe cave,-17.2,144.6,489,limestone,Devonian,no,Australien,144,145,489,489
